song_id,car,chill,club,dance,gym,happy,night,party,relax,running,sad,sleep,summer,work,workout
92310738,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1
129128022,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0
541854,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
376989861,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79472617,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1
82279478,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1
66242075,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1
552402,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0
71499473,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
579924702,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
368700061,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
74417630,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
548408432,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
576822232,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0
432207642,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
381335931,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
102364674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2149886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66472794,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
134525902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
460476022,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
477890512,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0
66756023,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
8134111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70834770,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132615908,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1
5754241,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
101529814,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
882920,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
73517668,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1
63461128,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0
2043943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
636608192,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
438501212,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0
95585876,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113366542,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0
130414758,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0
89815713,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
104622802,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
400602332,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
100651370,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1
347363781,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127248277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81106150,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0
443082652,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1
